id,title,actual_label,predicted_label,tokens_used,processing_time,model,prompt_type
748,Alex Rodriguez and Jennifer Lopez’s dating history before they hooked up,fake,fake,285,0.8968188762664795,gpt-4-turbo,zero_shot
20,Connecting People Through News,fake,fake,277,0.8172459602355957,gpt-4-turbo,zero_shot
1088,Married at First Sight Producer Gives Inside Look at Matching Process,real,real,283,0.8201169967651367,gpt-4-turbo,zero_shot
466,Katy Perry Pressuring Robert Pattinson To Get Married ,fake,fake,283,0.824491024017334,gpt-4-turbo,zero_shot
491,Robin Roberts and Michael Strahan spark feud rumors,fake,fake,282,0.8084220886230469,gpt-4-turbo,zero_shot
1521,"Lauren Bushnell has a new boyfriend after split from 'Bachelor' star Ben Higgins, source says",real,fake,292,0.8184082508087158,gpt-4-turbo,zero_shot
1038,Summer 2018: The Best Celebrity Vacation Spots,real,fake,284,0.9151890277862549,gpt-4-turbo,zero_shot
315,"Tom Cruise is 'diabolical,' says Leah Remini",fake,fake,285,1.9191529750823975,gpt-4-turbo,zero_shot
484,"Hold Up, Is Caitlyn Jenner Adopting a Baby?!",fake,fake,300,1.0277068614959717,gpt-4-turbo,zero_shot
1833,"George Clooney Shows Off Pics of His Twins, Jokes They’re Like Models",real,real,288,0.8434958457946777,gpt-4-turbo,zero_shot
106,"Halle Berry NOT Pregnant At 50, Despite Reports",fake,fake,285,0.9229190349578857,gpt-4-turbo,zero_shot
1525,Snow White Parody Film Under Fire For Body Shaming,real,real,283,0.656414270401001,gpt-4-turbo,zero_shot
105,Justin Bieber: Hollywood Elites Killed My Unborn Child,fake,fake,284,0.6709058284759521,gpt-4-turbo,zero_shot
1645,Drake: New album ‘Scorpion’ features Michael Jackson and Jay-Z,real,real,286,2.061192750930786,gpt-4-turbo,zero_shot
230,"Angelina Jolie Can’t Get Over Heartbreak Of Losing Brad Pitt — Real Reason For Fury, Says Source",fake,fake,295,0.8061158657073975,gpt-4-turbo,zero_shot
339,"'Yeah, It's Been Hell' Oliver Hudson Jokes About Rumors of Brad Pitt Dating Sister Kate Hudson",fake,fake,295,1.6352887153625488,gpt-4-turbo,zero_shot
269,"Jamie Foxx Not Renting Out Disneyland For Katie Holmes, Despite Fake News",fake,real,287,0.6282649040222168,gpt-4-turbo,zero_shot
763,Caitlyn Jenner spills on sex life with ex-wife Kris Jenner in tell-all book The Secrets of my Life,fake,fake,294,1.211378812789917,gpt-4-turbo,zero_shot
1799,Matt Damon Interrupts Chris Hemsworth's Interview with Jimmy Kimmel,real,real,285,0.714677095413208,gpt-4-turbo,zero_shot
1410,"Lala Kent, Kyle Richards and More Bravolebrities Share Their Moms' Beauty Advice",real,real,290,0.717465877532959,gpt-4-turbo,zero_shot
1401,"Steve Harvey's Ex-Wife Sues Him for $60 Million; Alleges Torture, Child Endangerment",real,fake,296,0.7131073474884033,gpt-4-turbo,zero_shot
782,Kylie Jenner Reignites Travis Scott Engagement Rumors With Diamond Ring On THAT Finger — Pic,fake,fake,290,1.0255837440490723,gpt-4-turbo,zero_shot
1028,"Golden Globes 2018: Lady Bird Wins Best Motion Picture, Musical or Comedy",real,real,289,0.8181838989257812,gpt-4-turbo,zero_shot
1841,National Eating Disorders Association,real,fake,277,8.133411169052124,gpt-4-turbo,zero_shot
1831,Wilmer Valderrama spotted visiting ex Demi Lovato in hospital in LA,real,fake,290,1.4907939434051514,gpt-4-turbo,zero_shot
4,Orlando Bloom Biography,fake,real,275,0.8168141841888428,gpt-4-turbo,zero_shot
1348,I Do! Watch John Cena Adorably Officiate a Couple's Wedding Live on Today Show,real,real,300,0.9207992553710938,gpt-4-turbo,zero_shot
772,BREAKING: Supreme Court Issues Its First Bench Warrant Ever,fake,fake,309,0.716057300567627,gpt-4-turbo,zero_shot
726,Paris Jackson Secret Surgery,fake,fake,277,0.7158997058868408,gpt-4-turbo,zero_shot
1228,Tristan Thompson Spotted at Ohio Hospital After Khloe Kardashian Gives Birth: Pic,real,real,287,0.61344313621521,gpt-4-turbo,zero_shot
62,"Sofia Richie Hoping To Keep Scott Disick ‘Turned On’ By Emulating His Ex, Kourtney & It’s Working",fake,fake,300,0.9200408458709717,gpt-4-turbo,zero_shot
1269,How Carmelo Anthony justified allegedly cheating on La La,real,fake,283,1.3689157962799072,gpt-4-turbo,zero_shot
563,Celebrity blog: Brad Pitt and Angelina Jolie continue divorce talks — privately,fake,fake,288,0.6634860038757324,gpt-4-turbo,zero_shot
818,Robert Pattinson & Kristen Stewart Reportedly In Talks For 1st Movie Together Since ‘Twilight’,fake,fake,293,0.909019947052002,gpt-4-turbo,zero_shot
435,"Brad Pitt Reportedly ‘Locked Out’ By Shiloh Jolie-Pitt After Angelina Jolie Split, Says ‘Radar Online’",fake,fake,301,1.5036060810089111,gpt-4-turbo,zero_shot
1129,Pregnant Heidi Montag shows off her burgeoning baby bump,real,real,283,0.7494189739227295,gpt-4-turbo,zero_shot
1294,Aaron Carter Hits Back at Brother Nick After DUI Arrest and Alleges He Was Targeted Because He's Famous,real,fake,294,0.8212847709655762,gpt-4-turbo,zero_shot
1201,Brandy Skips Ray J’s Baby Shower Amidst Alleged Family Drama,real,fake,288,0.8563439846038818,gpt-4-turbo,zero_shot
556,"Brad Pitt Talks Divorce, Quitting Drinking, and Becoming a Better Man",fake,real,288,0.7123432159423828,gpt-4-turbo,zero_shot
1318,Kourtney Kardashian and Scott Disick Discuss Marriage,real,fake,283,0.6507601737976074,gpt-4-turbo,zero_shot
1917,Second Saturday in June,real,fake,277,0.9214029312133789,gpt-4-turbo,zero_shot
498,"Jennifer Lopez & Alex Rodriguez Might Be Engaged, & There’s An Instagram Post To Prove It — PHOTO",fake,fake,295,1.2040071487426758,gpt-4-turbo,zero_shot
128,Celebrities pay tribute to Mary Tyler Moore,fake,real,280,0.8879239559173584,gpt-4-turbo,zero_shot
